as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1957-12-31,permno-17398-19570301,17398,,,TRUAX TRAER COAL CO,,1957-03-01,1962-04-25,wrds,missing_symbol
1957-12-31,permno-25187-19570301,25187,,,UNIVERSAL PICTURES INC,,1957-03-01,1961-10-25,wrds,missing_symbol
1957-12-31,permno-22015-19570301,22015,,,VERTIENTES CAMAGUEY SUGAR CO,,1957-03-01,1961-02-08,wrds,missing_symbol
1957-12-31,permno-17216-19570301,17216,,,WESSON OIL & SNOWDRIFT INC,,1957-03-01,1960-07-13,wrds,missing_symbol
1957-12-31,permno-10495-19570301,10495,A,A,ANACONDA CO; ANACONDA COPPER MNG CO,,1957-03-01,1977-01-19,wrds,reused_symbol_requires_override
1957-12-31,permno-15843-19570301,15843,ABA,ABA,AMERICAN BAKERIES CO; PURITY BAKERIES CORP,,1957-03-01,1973-05-30,wrds,auto
1957-12-31,permno-10233-19570821,10233,ABC,"ABP, ABC",FAMOUS PLAYERS LASKY CORP; PARAMOUNT FAMOUS LASKY CORP; PARAMOUNT PUBLIX CORP; PARAMOUNT PICTURES INC; AMERICAN BROADCASTING PARAMOUNT; UNITED PARAMOUNT THEATRES INC; AMERICAN BROADCASTING COS INC,,1957-08-21,1959-03-25,wrds,ticker_history_requires_override
1957-12-31,permno-15974-19570301,15974,ABG,ABG,AMERICAN SHIP BLDG CO,,1957-03-01,1968-09-10,wrds,auto
1957-12-31,permno-10030-19570301,10030,ABK,ABK,AMERICAN BRAKE SHOE & FDRY; ABEX CORP; AMERICAN BRAKE SHOE CO,,1957-03-01,1969-01-08,wrds,auto
1957-12-31,permno-10006-19570301,10006,ACF,ACF,AMERICAN CAR & FDRY CO; A C F INDUSTRIES INC,,1957-03-01,1984-07-18,wrds,auto
1957-12-31,permno-10292-19570301,10292,ACJ,ACJ,AMERICAN CHICLE CO,,1957-03-01,1962-09-26,wrds,auto
1957-12-31,permno-19692-19570301,19692,ACK,ACK,ARMSTRONG WORLD INDUSTRIES INC; ARMSTRONG CORK CO; ARMSTRONG HOLDINGS INC,,1957-03-01,1996-01-02,wrds,auto
1957-12-31,permno-18825-19570301,18825,ACN,ACN,AMERICAN CHAIN & CABLE INC; AMERICAN CHAIN INC,,1957-03-01,1976-01-14,wrds,reused_symbol_requires_override
1957-12-31,permno-10276-19570301,10276,ACS,ACS,AMERICAN CRYSTAL SUGAR CO; AMERICAN BEET SUGAR CO,,1957-03-01,1973-02-28,wrds,reused_symbol_requires_override
1957-12-31,permno-23341-19570301,23341,ACY,ACY,AMERICAN CYANAMID CO,,1957-03-01,1994-09-26,wrds,auto
1957-12-31,permno-10487-19570301,10487,AD,AD,AMSTED INDUSTRIES INC; AMERICAN STEEL FOUNDRIES,,1957-03-01,1986-05-07,wrds,auto
1957-12-31,permno-22488-19570301,22488,ADL,ADL,ADMIRAL CORP,,1957-03-01,1974-04-10,wrds,auto
1957-12-31,permno-10516-19570301,10516,ADM,ADM,ARCHER DANIELS MIDLAND CO,,1957-03-01,1970-04-22,wrds,reused_symbol_requires_override
1957-12-31,permno-19596-19570301,19596,AEG,"UAL, AEG",U A L INC; U A L CORP; ALLEGIS CORP; UNITED AIR LINES INC; UNITED AIR LINES TRANS CORP,,1957-03-01,1994-07-12,wrds,ticker_history_requires_override
1957-12-31,permno-21645-19570301,21645,AEX,AEX,AMERICAN EXPT LINES INC; AMERICAN EXPT ISBRANDTSEN LINES,,1957-03-01,1965-02-12,wrds,auto
1957-12-31,permno-24555-19570301,24555,AGM,AGM,AMALGAMATED SUGAR CO,,1957-03-01,1982-10-06,wrds,auto
1957-12-31,permno-10153-19570301,10153,AH,AH,ALLIS CHALMERS MFG CO; ALLIS CHALMERS CORP,,1957-03-01,1963-03-13,wrds,reused_symbol_requires_override
1957-12-31,permno-10209-19570301,10209,AHD,AHD,AMERICAN AGRIC CHEM CO,,1957-03-01,1963-10-16,wrds,auto
1957-12-31,permno-24264-19570301,24264,AL,AL,ALCAN INC; ALCAN ALUMINUM LTD; ALUMINUM LTD,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-17304-19570301,17304,ALS,ALS,ALLIED STORES CORP; HAHN DEPT STORES INC,,1957-03-01,1987-01-07,wrds,auto
1957-12-31,permno-18980-19570301,18980,AM,"AIN, AM",ADDRESSOGRAPH MULTIGRAPH CORP; ADDRESSOGRAPH INTL CO; A M INTERNATIONAL INC,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1957-12-31,permno-10524-19570301,10524,AM,AM,ARMOUR & CO,,1957-03-01,1971-01-13,wrds,reused_symbol_requires_override
1957-12-31,permno-15763-19570301,15763,AMF,AMF,AMERICAN MACH & FDRY CO; A M F INC,,1957-03-01,1985-10-09,wrds,auto
